user_email,source_id,method,grammar_score,correct_score,preservation_score,cultural_align_score,evaluation_time
5c92cbb87a7067000190b8e6_old_old,1278428,mt_zeroshot,3,3,5,2,61
5c92cbb87a7067000190b8e6_old_old,1278428,mt_finetuned,7,7,2,5,39
5c92cbb87a7067000190b8e6_old_old,1960136,mt_zeroshot,1,1,2,1,81
5db325a56c8068000db18295_old_old,1031914,mt5_base,2,1,1,2,66
5db325a56c8068000db18295_old_old,2098619,mt5_base,1,1,1,1,23
5db325a56c8068000db18295_old_old,1051604,mt_zeroshot,2,3,5,2,73
5d8492ecb485f60018b006a6_old_old,2194937,gpt4,6,7,7,7,153
5d8492ecb485f60018b006a6_old_old,708828,mt_finetuned,7,1,1,4,69
5d8492ecb485f60018b006a6_old_old,32355,mt_finetuned,7,1,1,2,64
6441c22dfc799faa0cef316e_old_old,1189319,gpt4,5,4,6,6,93
6441c22dfc799faa0cef316e_old_old,325580,mt5_base,5,2,3,6,50
6441c22dfc799faa0cef316e_old_old,307355,bloom_adapted,2,2,3,2,38
60ce601b0db7f30595a36acd_old_old,9692,mt_finetuned,6,1,4,1,89
60ce601b0db7f30595a36acd_old_old,37558,bloom_adapted,7,7,7,3,28
60ce601b0db7f30595a36acd_old_old,52363,mt_zeroshot,4,6,7,2,35
604db6324496c57afe822770_old_old,1926710,bloom_adapted,5,4,5,4,263
604db6324496c57afe822770_old_old,307355,gpt4,7,7,7,7,56
5f07d88a3c105f01df6fae40_old_old,2098619,gpt4,7,7,7,7,168
604db6324496c57afe822770_old_old,18258,mt_zeroshot,2,3,4,2,63
5f07d88a3c105f01df6fae40_old_old,1189319,mt5_base,7,7,1,7,94
5f07d88a3c105f01df6fae40_old_old,8900,mt_finetuned,7,7,1,7,86
64057114a10b6be25b9f3008_old_old,1970885,gpt4,1,1,1,1,62
64057114a10b6be25b9f3008_old_old,1189319,bloom_adapted,1,7,7,1,63
64057114a10b6be25b9f3008_old_old,43684,mt_finetuned,7,1,1,1,47
64057114a10b6be25b9f3008_old_old,43684,mt_finetuned,7,1,1,1,47
64057114a10b6be25b9f3008_old_old,43684,mt_finetuned,7,1,1,1,47
647e0f22b1d466181ae694c4_old_old,1599345,bloom_adapted,6,6,4,4,256
647e0f22b1d466181ae694c4_old_old,43684,mt_zeroshot,4,6,6,6,76
647e0f22b1d466181ae694c4_old_old,525598,mt_finetuned,7,7,5,7,89
5c670a430d80fd00014264f9_old_old,572285,mt_finetuned,6,6,6,7,12
5c670a430d80fd00014264f9_old_old,1447704,mt_finetuned,4,3,4,3,27
5c670a430d80fd00014264f9_old_old,279069,mt_finetuned,3,2,3,3,14
63e538b2184766a67a99e21f_old_old,1599345,mt_zeroshot,1,1,1,1,38
63e538b2184766a67a99e21f_old_old,1051604,mt5_base,1,1,1,1,93
63e538b2184766a67a99e21f_old_old,52363,gpt4,7,7,7,5,32
599f0d29ec626e0001d53f47_old_old,44229,mt_finetuned,7,7,6,6,152
60211a7c07e6f203ccb99231_old_old,1543956,mt5_base,3,3,3,4,316
599f0d29ec626e0001d53f47_old_old,1970885,mt_zeroshot,4,6,7,6,189
60211a7c07e6f203ccb99231_old_old,1960136,mt_finetuned,3,4,3,2,162
599f0d29ec626e0001d53f47_old_old,18258,mt_finetuned,7,7,7,7,55
5ca650fc557aec0012e200d8_old_old,37558,mt5_base,3,1,1,2,40
5ca650fc557aec0012e200d8_old_old,1970885,mt5_base,1,1,1,2,22
5ca650fc557aec0012e200d8_old_old,43012,mt_finetuned,1,1,1,2,21
60211a7c07e6f203ccb99231_old_old,279069,mt5_base,4,3,4,2,129
5d8492ecb485f60018b006a6_old_old,140681,mt5_base,7,1,2,5,125
5fc7f97d984e250e0954d565_old_old,140681,mt_zeroshot,5,6,7,1,243
5fc7f97d984e250e0954d565_old_old,1599345,gpt4,6,6,7,1,286
5fc7f97d984e250e0954d565_old_old,602516,mt5_base,7,1,7,1,44
5d8cb1c93a7d5c00196eae92_old_old,5157,gpt4,6,5,6,3,33
5d8cb1c93a7d5c00196eae92_old_old,9692,mt5_base,6,6,6,4,54
5d8cb1c93a7d5c00196eae92_old_old,18258,gpt4,5,5,3,3,53
63234600af22ae51539d13c7_old_old,44229,gpt4,7,4,7,4,101
63234600af22ae51539d13c7_old_old,30811,bloom_adapted,7,7,7,3,54
63234600af22ae51539d13c7_old_old,8900,mt5_base,7,1,1,3,40
5ea96c415a6a4e068b6d1e84_old_old,550476,mt_finetuned,6,6,6,6,42
5ea96c415a6a4e068b6d1e84_old_old,2098619,mt_finetuned,7,7,7,7,184
